playerName, playerID
Austin Adams,adamsau02
R.J. Alaniz,alanirj01
Matt Albers,alberma01
Hanser Alberto,alberha01
Sandy Alcantara,alcansa01
Victor Alcantara,alcanvi01
Scott Alexander,alexasc02
Cody Allen,allenco01
Yency Almonte,almonye01
Dan Altavilla,altavda01
Aaron Altherr,altheaa01
Jose Alvarado,alvarjo03
Jose Alvarez,alvarjo02
Brett Anderson,anderbr04
Chase Anderson,anderch01
Cody Anderson,anderco01
Drew Anderson,anderdr02
Justin Anderson,anderju01
Nick Anderson,anderni01
Tyler Anderson,anderty01
Matt Andriese,andrima01
Victor Arano,aranovi01
Pedro Araujo,araujpe01
Chris Archer,archech01
Shawn Armstrong,armstsh01
Jake Arrieta,arrieja01
Pedro Avila,avilape01
Luis Avilan,avilalu01
Pedro Baez,baezpe01
Homer Bailey,baileho02
Manny Banuelos,banuema01
Luke Bard,bardlu01
Scott Barlow,barlosc01
Jacob Barnes,barneja01
Matt Barnes,barnema01
Kyle Barraclough,barraky01
Jake Barrett,barreja01
Jaime Barria,barrija01
Tyler Bashlor,bashlty01
Chris Bassitt,bassich01
Trevor Bauer,bauertr01
Cam Bedrosian,bedroca01
Tyler Beede,beedety01
Jalen Beeks,beeksja02
Travis Bergen,bergetr01
Jose Berrios,berrijo01
Chad Bettis,bettich01
Joe Biagini,biagijo01
Jesse Biddle,biddlje01
Shane Bieber,biebesh01
Kyle Bird,birdky01
Ty Blach,blachty01
Richard Bleier,bleieri01
Jerry Blevins,blevije01
Brad Boxberger,boxbebr01
Matthew Boyd,boydma01
Brad Brach,brachbr01
Chasen Bradford,bradfch02
Archie Bradley,bradlar01
Ryan Brasier,brasiry01
Steven Brault,braulst01
John Brebbia,brebbjo01
Brandon Brennan,brennbr01
Colten Brewer,breweco01
Austin Brice,briceau01
Zack Britton,brittza01
Aaron Brooks,brookaa01
Clay Buchholz,buchhcl01
Ryan Buchter,buchtry01
Walker Buehler,buehlwa01
Madison Bumgarner,bumgama01
Aaron Bummer,bummeaa01
Dylan Bundy,bundydy01
Nick Burdi,burdini01
Corbin Burnes,burneco01
Ryan Burr,burrry01
Ty Buttrey,buttrty01
Trevor Cahill,cahiltr01
Griffin Canning,cannigr01
Shane Carle,carlesh01
Ryan Carpenter,carpery01
Carlos Carrasco,carraca01
Andrew Cashner,cashnan01
Diego Castillo,castidi01
Luis Castillo,castilu02
Miguel Castro,castrmi01
Luis Cessa,cessalu01
Jhoulys Chacin,chacijh01
Andrew Chafin,chafian01
Aroldis Chapman,chapmar01
JT Chargois,chargjt01
Tyler Chatwood,chatwty01
Jesse Chavez,chaveje01
Wei-Yin Chen,chenwe02
Yonny Chirinos,chiriyo01
Adam Cimber,cimbead01
Steve Cishek,cishest01
Taylor Clarke,clarkta01
Alex Claudio,claudal01
Mike Clevinger,clevimi01
Tyler Clippard,clippty01
Alex Cobb,cobbal01
Gerrit Cole,colege01
Taylor Cole,coleta01
Tim Collins,colliti01
Alex Colome,colomal01
Adam Conley,conlead01
Patrick Corbin,corbipa01
Dylan Covey,coveydy01
Kyle Crick,crickky01
Charlie Culberson,culbech01
John Curtiss,curtijo02
Yu Darvish,darviyu01
Zach Davies,davieza02
Austin Davis,davisau01
Chris Davis,davisch02
Wade Davis,daviswa01
Grant Dayton,daytogr01
Chase De Jong,dejonch01
Enyel De Los Santos,delosen01
Jacob deGrom,degroja01
Anthony DeSclafani,desclan01
Chris Devenski,devench02
Edwin Diaz,diazed04
Jake Diekman,diekmja01
Seranthony Dominguez,dominse01
Sean Doolittle,doolise01
Kyle Dowdy,dowdyky01
Tyler Duffey,duffety01
Danny Duffy,duffyda01
Zach Duke,dukeza01
Ryan Dull,dullry01
Mike Dunn,dunnmi01
Jon Duplantier,duplajo01
Montana DuRapau,durapmo01
Sam Dyson,dysonsa01
Carl Edwards Jr.,edwarca01
Jon Edwards,edwarjo02
Zach Eflin,eflinza01
Jerad Eickhoff,eickhje01
Roenis Elias,eliasro01
Chris Ellis,ellisch01
Nathan Eovaldi,eovalna01
Robbie Erlin,erlinro01
Carlos Estevez,estevca01
Marco Estrada,estrama01
Jeurys Familia,familje01
Jake Faria,fariaja01
Buck Farmer,farmebu01
Erick Fedde,feddeer01
Michael Feliz,felizmi01
Caleb Ferguson,ferguca01
Jose Fernandez,fernajo04
Matt Festa,festama01
Mike Fiers,fiersmi01
Heath Fillmyer,fillmhe01
Jack Flaherty,flaheja01
Chris Flexen,flexech01
Dylan Floro,florody01
Mike Foltynewicz,foltymi01
Wilmer Font,fontwi01
Caleb Frare,frareca01
Kyle Freeland,freelky01
Sam Freeman,freemsa01
Max Fried,friedma01
Jace Fry,fryja01
Paul Fry,frypa01
Carson Fulmer,fulmeca01
Drew Gagnon,gagnodr01
Giovanny Gallegos,gallegi01
John Gant,gantjo01
Edgar Garcia,garcied01
Jarlin Garcia,garcija04
Luis Garcia,garcilu03
Yimi Garcia,garciyi01
Amir Garrett,garream01
Reed Garrett,garrere01
Kevin Gausman,gausmke01
Sam Gaviglio,gavigsa01
Cory Gearrin,gearrco01
Domingo German,germado01
Kyle Gibson,gibsoky01
Ken Giles,gileske01
Lucas Giolito,giolilu01
Mychal Givens,givenmy01
Tyler Glasnow,glasnty01
Zack Godley,godleza01
Jeanmar Gomez,gomezje01
Marco Gonzales,gonzama02
Gio Gonzalez,gonzagi01
Trevor Gott,gotttr01
Matt Grace,gracema02
Jon Gray,grayjo02
Sonny Gray,grayso01
Chad Green,greench03
Shane Greene,greensh02
Luke Gregerson,gregelu01
Zack Greinke,greinza01
Robert Gsellman,gsellro01
Reymin Guduan,guduare01
Javy Guerra,guerrja01
Junior Guerra,guerrju02
Tayron Guerrero,guerrta01
Jedd Gyorko,gyorkje01
Josh Hader,haderjo01
Cole Hamels,hamelco01
Brad Hand,handbr01
J.A. Happ,happja01
Blaine Hardy,hardybl01
Ryne Harper,harpery01
Will Harris,harriwi10
Donnie Hart,hartdo01
Joe Harvey,harvejo01
Matt Harvey,harvema01
Taylor Hearn,hearnta01
Jeremy Hellickson,hellije01
Ryan Helsley,helslry01
Heath Hembree,hembrhe01
Kyle Hendricks,hendrky01
Liam Hendriks,hendrli01
Darwinzon Hernandez,hernada02
David Hernandez,hernada01
Felix Hernandez,hernafe02
Kelvin Herrera,herreke01
David Hess,hessda01
Jordan Hicks,hicksjo03
Trevor Hildenberger,hildetr01
Rich Hill,hillri01
Tim Hill,hillti01
Yoshihisa Hirano,hiranyo01
Jeff Hoffman,hoffmje02
Jonathan Holder,holdejo02
Derek Holland,hollade01
Greg Holland,hollagr01
Clay Holmes,holmecl01
Adrian Houser,housead01
Wei-Chieh Huang,huangwe01
Dakota Hudson,hudsoda02
Daniel Hudson,hudsoda01
Jared Hughes,hugheja02
Raisel Iglesias,iglesra01
Jay Jackson,jacksja01
Luke Jackson,jackslu01
Josh James,jamesjo02
Kenley Jansen,janseke01
Jeremy Jeffress,jeffrje01
Dan Jennings,jennida01
Williams Jerez,jerezwi01
Jake Jewell,jewelja01
Eduardo Jimenez,jimened01
Joe Jimenez,jimenjo02
Brian Johnson,johnsbr02
DJ Johnson,johnsdj01
Nate Jones,jonesna01
Caleb Joseph,josepca01
Jakob Junis,junisja01
Ariel Jurado,juradar01
Tommy Kahnle,kahnlto01
Nate Karns,karnsna01
Keone Kela,kelake01
Brad Keller,kellebr01
Shawn Kelley,kellesh01
Joe Kelly,kellyjo05
Merrill Kelly,kellyme01
Ian Kennedy,kenneia01
Clayton Kershaw,kershcl01
Yusei Kikuchi,kikucyu01
Nick Kingham,kinghni01
Tyler Kinley,kinlety01
Brandon Kintzler,kintzbr01
Branden Kline,klinebr01
Corey Kluber,klubeco01
Matt Koch,kochma01
Adam Kolarek,kolarad01
Travis Lakins,lakintr01
Eric Lauer,lauerer01
Derek Law,lawde01
Mike Leake,leakemi01
Wade LeBlanc,leblawa01
Jose Leclerc,leclejo01
Dominic Leone,leonedo01
Jon Lester,lestejo01
Francisco Liriano,liriafr01
Ben Lively,livelbe01
Jonathan Loaisiga,loaisjo01
Jorge Lopez,lopezjo02
Pablo Lopez,lopezpa01
Reynaldo Lopez,lopezre01
Yoan Lopez,lopezyo01
Michael Lorenzen,lorenmi01
Aaron Loup,loupaa01
Richard Lovelady,lovelri01
Josh Lucas,lucasjo02
Joey Lucchesi,lucchjo01
Elvis Luciano,luciael01
Seth Lugo,lugose01
Jordan Lyles,lylesjo01
Lance Lynn,lynnla01
Tyler Lyons,lyonsty01
Kenta Maeda,maedake01
Matt Magill,magilma01
Tyler Mahle,mahlety01
Luke Maile,mailelu01
Dillon Maples,mapledi01
Nick Margevicius,margeni01
German Marquez,marquge01
Evan Marshall,marshev01
Brett Martin,martibr01
Chris Martin,martich02
Russell Martin,martiru01
Jeff Mathis,mathije01
Phil Maton,matonph01
Steven Matz,matzst01
Trevor May,maytr01
Mike Mayers,mayermi01
Tim Mayza,mayzati01
Kevin McCarthy,mccarke01
T.J. McFarland,mcfartj01
Jake McGee,mcgeeja01
Collin McHugh,mchugco01
John Means,meansjo01
Adalberto Mejia,mejiaad01
Mark Melancon,melanma01
Miles Mikolas,mikolmi01
Wade Miley,mileywa01
Andrew Miller,millean01
Justin Miller,milleju02
